@SenSherrodBrown,Sherrod,Brown,0.57,0.95,0.38,0.16,0.05,0.86,0.67,0.93,0.98,0.98,0.78,0.72,0.98,0.97,0.71,0.95,0.99,0.4,0.15,0.76,0.42,0.75,0.81,0.62,0.53,0.87,0.98,0.71,0.95,0.05,0.03,0.05,0.0,0.02,0.04,0.31,0.32,0.38,0.09,0.22,0.11,0.14,0.25,0.19,0.17,0.83,0.82,0.27,0.12,0.04,0.02,0.19
@SenBobCasey,Bob,Casey,0.7,0.93,0.55,0.36,0.23,0.9,0.82,0.94,0.99,0.95,0.75,0.6,0.95,0.97,0.61,0.96,0.99,0.31,0.25,0.75,0.34,0.67,0.93,0.57,0.48,0.83,0.99,0.81,0.89,0.11,0.11,0.11,0.01,0.07,0.07,0.38,0.33,0.46,0.12,0.3,0.13,0.1,0.22,0.15,0.22,0.82,0.87,0.38,0.17,0.05,0.07,0.23
@SenBobCorker,Bob,Corker,0.71,0.9,0.6,0.14,0.31,0.94,0.84,0.92,0.97,0.88,0.74,0.54,0.93,0.97,0.78,0.92,0.98,0.18,0.41,0.59,0.37,0.68,0.83,0.33,0.39,0.52,0.98,0.81,0.81,0.38,0.35,0.17,0.0,0.14,0.14,0.35,0.36,0.23,0.17,0.17,0.17,0.05,0.29,0.16,0.25,0.77,0.84,0.24,0.21,0.11,0.3,0.08
@clairecmc,Claire,McCaskill,0.68,0.58,0.37,0.51,0.11,0.84,0.64,0.83,0.93,0.9,0.8,0.43,0.84,0.87,0.91,0.84,0.91,0.42,0.12,0.78,0.36,0.84,0.79,0.58,0.37,0.73,0.95,0.68,0.78,0.38,0.27,0.21,0.19,0.11,0.2,0.39,0.37,0.28,0.05,0.26,0.24,0.1,0.32,0.13,0.12,0.6,0.63,0.36,0.14,0.17,0.16,0.27
@amyklobuchar,Amy,Klobuchar,0.53,0.95,0.51,0.5,0.11,0.82,0.68,0.9,0.99,0.97,0.81,0.68,0.97,0.97,0.91,0.97,0.98,0.51,0.17,0.86,0.4,0.93,0.91,0.75,0.46,0.86,0.99,0.86,0.85,0.09,0.08,0.06,0.0,0.02,0.07,0.42,0.59,0.44,0.12,0.46,0.19,0.19,0.58,0.14,0.24,0.88,0.75,0.38,0.17,0.07,0.04,0.32
@SenWhitehouse,Sheldon,Whitehouse,0.61,0.98,0.64,0.36,0.26,0.9,0.82,0.92,0.99,0.94,0.67,0.66,0.95,0.97,0.84,0.98,0.98,0.53,0.31,0.84,0.56,0.83,0.93,0.66,0.39,0.81,0.99,0.9,0.85,0.07,0.07,0.06,0.0,0.04,0.06,0.68,0.47,0.69,0.27,0.58,0.35,0.38,0.5,0.32,0.41,0.88,0.86,0.42,0.35,0.12,0.22,0.43
@SenatorTester,Jon,Tester,0.66,0.97,0.63,0.19,0.21,0.93,0.76,0.92,0.99,0.97,0.68,0.71,0.97,0.98,0.76,0.97,0.99,0.46,0.28,0.81,0.45,0.6,0.87,0.61,0.35,0.82,0.99,0.81,0.93,0.03,0.04,0.06,0.0,0.02,0.03,0.36,0.23,0.5,0.15,0.23,0.13,0.17,0.25,0.21,0.22,0.8,0.84,0.22,0.25,0.04,0.06,0.24
@SenJohnBarrasso,John,Barrasso,0.62,0.88,0.43,0.1,0.13,0.96,0.74,0.94,0.98,0.98,0.83,0.79,0.99,0.99,0.8,0.84,0.99,0.18,0.19,0.62,0.31,0.7,0.76,0.44,0.34,0.72,0.97,0.62,0.92,0.11,0.11,0.07,0.0,0.08,0.02,0.17,0.12,0.24,0.05,0.11,0.06,0.02,0.16,0.17,0.15,0.68,0.68,0.17,0.08,0.06,0.03,0.06
@SenatorWicker,Roger,Wicker,0.67,0.92,0.56,0.21,0.22,0.92,0.77,0.96,0.99,0.97,0.81,0.6,0.96,0.98,0.67,0.96,0.98,0.31,0.26,0.71,0.32,0.68,0.9,0.6,0.43,0.76,0.99,0.85,0.92,0.12,0.12,0.1,0.0,0.06,0.08,0.27,0.33,0.36,0.11,0.23,0.11,0.08,0.25,0.11,0.1,0.8,0.86,0.33,0.15,0.03,0.06,0.17
@SenatorTomUdall,Tom,Udall,0.61,0.98,0.73,0.32,0.19,0.92,0.74,0.9,0.99,0.98,0.69,0.75,0.98,0.97,0.78,0.98,0.99,0.49,0.24,0.85,0.5,0.74,0.9,0.73,0.41,0.9,0.99,0.86,0.85,0.02,0.04,0.04,0.0,0.02,0.03,0.31,0.43,0.64,0.17,0.45,0.18,0.26,0.35,0.19,0.35,0.86,0.83,0.24,0.37,0.07,0.03,0.4
@SenatorShaheen,Jeanne,Shaheen,0.67,0.96,0.53,0.32,0.15,0.86,0.77,0.95,0.99,0.97,0.78,0.64,0.98,0.97,0.85,0.97,0.99,0.39,0.21,0.79,0.41,0.9,0.91,0.68,0.48,0.88,0.99,0.86,0.9,0.08,0.09,0.06,0.0,0.02,0.05,0.41,0.54,0.47,0.12,0.34,0.14,0.12,0.39,0.14,0.21,0.89,0.86,0.32,0.19,0.06,0.07,0.26
@MarkWarner,Mark,Warner,0.51,0.95,0.45,0.21,0.27,0.91,0.72,0.87,0.99,0.93,0.63,0.61,0.96,0.99,0.82,0.98,0.99,0.42,0.44,0.77,0.47,0.79,0.84,0.51,0.23,0.7,0.98,0.88,0.81,0.15,0.14,0.09,0.0,0.05,0.07,0.66,0.45,0.48,0.24,0.49,0.33,0.25,0.52,0.37,0.31,0.84,0.83,0.37,0.27,0.13,0.22,0.26
